transaction_id,ground_truth_decision,ground_truth_reason,expected_bank_id,expected_ledger_id,edge_case_type
TXN0001,MATCH,Settlement date drifted 3 day(s) from payment date -- within 3-day window,BNK0001,LDG0001,DATE_DRIFT
TXN0002,MATCH,"Exact three-way match on reference, amount, and date",BNK0002,LDG0002,EXACT_MATCH
TXN0003,MATCH,"Exact three-way match on reference, amount, and date",BNK0003,LDG0003,EXACT_MATCH
TXN0004,MATCH,"Exact three-way match on reference, amount, and date",BNK0004,LDG0004,EXACT_MATCH
TXN0005,MATCH,AI candidate disambiguation: BNK0005 matches payment PAY4SHNF877 via description Ref: P-4SHNF877,BNK0005,LDG0005,AI_RESOLVABLE
TXN0006,MATCH,"Name variation across sources with consistent reference, amount, and date",BNK0007,LDG0006,NAME_VARIATION
TXN0007,MATCH,"Exact three-way match on reference, amount, and date",BNK0008,LDG0007,EXACT_MATCH
TXN0008,MATCH,"Exact three-way match on reference, amount, and date",BNK0009,LDG0008,EXACT_MATCH
TXN0009,MATCH,"Exact three-way match on reference, amount, and date",BNK0010,LDG0009,EXACT_MATCH
TXN0010,MATCH,"Exact three-way match on reference, amount, and date",BNK0011,LDG0010,EXACT_MATCH
TXN0011,MATCH,Bank settlement = payment minus 2% gateway fee,BNK0012,LDG0011,FEE_DEDUCTION
TXN0012,MATCH,Bank settlement = payment minus 2% gateway fee,BNK0013,LDG0012,FEE_DEDUCTION
TXN0013,MATCH,"Name variation across sources with consistent reference, amount, and date",BNK0014,LDG0013,NAME_VARIATION
TXN0014,MATCH,"Exact three-way match on reference, amount, and date",BNK0015,LDG0014,EXACT_MATCH
TXN0015,MATCH,Settlement date drifted 1 day(s) from payment date -- within 3-day window,BNK0016,LDG0015,DATE_DRIFT
TXN0016,MATCH,Settlement date drifted 1 day(s) from payment date -- within 3-day window,BNK0017,LDG0016,DATE_DRIFT
TXN0017,MATCH,"Name variation across sources with consistent reference, amount, and date",BNK0018,LDG0017,NAME_VARIATION
TXN0018,MATCH,AI candidate disambiguation: BNK0019 matches payment PAYVZHWJR64 via description Ref: P-VZHWJR64,BNK0019,LDG0018,AI_RESOLVABLE
TXN0019,MATCH,Bank settlement = payment minus 2% gateway fee,BNK0021,LDG0019,FEE_DEDUCTION
TXN0020,MATCH,Settlement date drifted 1 day(s) from payment date -- within 3-day window,BNK0022,LDG0020,DATE_DRIFT
TXN0021,MATCH,Bank settlement = payment minus 2% gateway fee,BNK0023,LDG0021,FEE_DEDUCTION
TXN0022,EXCEPTION,No bank settlement record found for this payment,,LDG0022,MISSING_BANK
TXN0023,EXCEPTION,"Duplicate settlement records (BNK0024, BNK0025) for reference PAYO9T7E8G8",BNK0024|BNK0025,LDG0023,DUPLICATE_BANK
TXN0024,MATCH,"Name variation across sources with consistent reference, amount, and date",BNK0026,LDG0024,NAME_VARIATION
TXN0025,MATCH,"Exact three-way match on reference, amount, and date",BNK0027,LDG0025,EXACT_MATCH
TXN0026,MATCH,"Exact three-way match on reference, amount, and date",BNK0028,LDG0026,EXACT_MATCH
TXN0027,MATCH,"Exact three-way match on reference, amount, and date",BNK0029,LDG0027,EXACT_MATCH
TXN0028,MATCH,AI candidate disambiguation: BNK0030 matches payment PAYSWM31YIH via description Ref: P-SWM31YIH,BNK0030,LDG0028,AI_RESOLVABLE
TXN0029,MATCH,"Exact three-way match on reference, amount, and date",BNK0032,LDG0029,EXACT_MATCH
TXN0030,MATCH,"Exact three-way match on reference, amount, and date",BNK0033,LDG0030,EXACT_MATCH
TXN0031,MATCH,"Name variation across sources with consistent reference, amount, and date",BNK0034,LDG0031,NAME_VARIATION
TXN0032,MATCH,"Exact three-way match on reference, amount, and date",BNK0035,LDG0032,EXACT_MATCH
TXN0033,MATCH,"Exact three-way match on reference, amount, and date",BNK0036,LDG0033,EXACT_MATCH
TXN0034,EXCEPTION,Amount mismatch of 11.4% between payment and bank -- not explainable by 2% fee,BNK0037,LDG0034,AMOUNT_MISMATCH
TXN0035,MATCH,Bank settlement = payment minus 2% gateway fee,BNK0038,LDG0035,FEE_DEDUCTION
TXN0036,EXCEPTION,"Duplicate settlement records (BNK0039, BNK0040) for reference PAYGJLQM5K8",BNK0039|BNK0040,LDG0036,DUPLICATE_BANK
TXN0037,MATCH,"Exact three-way match on reference, amount, and date",BNK0041,LDG0037,EXACT_MATCH
TXN0038,MATCH,"Exact three-way match on reference, amount, and date",BNK0042,LDG0038,EXACT_MATCH
TXN0039,MATCH,"Exact three-way match on reference, amount, and date",BNK0043,LDG0039,EXACT_MATCH
TXN0040,MATCH,"Exact three-way match on reference, amount, and date",BNK0044,LDG0040,EXACT_MATCH
TXN0041,MATCH,"Name variation across sources with consistent reference, amount, and date",BNK0045,LDG0041,NAME_VARIATION
TXN0042,MATCH,AI candidate disambiguation: BNK0046 matches payment PAYJ3TRP0J4 via description Ref: P-J3TRP0J4,BNK0046,LDG0042,AI_RESOLVABLE
